City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Bathsheba,BB,2022-03-28 01:11:20,13.2167,-59.5167,79.41,69,40,17.27
129,Kaeo,NZ,2022-03-28 01:11:20,-35.1,173.7833,75.33,61,3,3.71
130,Margate,GB,2022-03-28 01:11:21,51.3813,1.3862,45.3,92,0,1.01
131,Hobyo,SO,2022-03-28 01:11:21,5.3505,48.5268,79.16,66,70,11.95
132,Acapulco,MX,2022-03-28 01:11:22,16.8634,-99.8901,78.62,65,75,3.44
133,Lima,PE,2022-03-28 01:10:16,-12.0432,-77.0282,70.05,73,0,9.22
134,Newcastle,AU,2022-03-28 01:11:22,-32.9272,151.7765,75.97,81,75,8.05
135,Avarua,CK,2022-03-28 01:11:23,-21.2078,-159.775,75.25,94,75,16.11
136,Amberley,US,2022-03-28 01:11:23,39.2048,-84.428,34.25,56,0,8.05
137,Bani,DO,2022-03-28 01:11:24,18.2833,-70.3333,79.86,80,100,4.16
138,Rio Gallegos,AR,2022-03-28 01:09:38,-51.6226,-69.2181,46.45,49,0,4.61
139,Mahebourg,MU,2022-03-28 01:11:25,-20.4081,57.7,75.49,88,40,0.0
140,Dawlatabad,AF,2022-03-28 01:12:25,36.4141,64.9053,47.07,55,0,2.06
141,Teacapan,MX,2022-03-28 01:12:26,22.55,-105.75,71.96,60,0,6.24
142,Teknaf,BD,2022-03-28 01:12:26,20.8624,92.3058,77.36,85,92,0.56
143,Xichang,CN,2022-03-28 01:12:27,27.8964,102.2634,52.57,74,23,2.46
144,Salihorsk,BY,2022-03-28 01:12:27,52.7876,27.5415,31.84,55,88,11.86
145,Carnarvon,AU,2022-03-28 01:11:07,-24.8667,113.6333,82.47,57,0,11.5
146,Meulaboh,ID,2022-03-28 01:12:28,4.1363,96.1285,78.39,81,80,1.99
147,Huarmey,PE,2022-03-28 01:12:28,-10.0681,-78.1522,72.43,78,100,7.52
148,Kavieng,PG,2022-03-28 01:12:29,-2.5744,150.7967,84.38,70,47,8.95
149,Khorixas,NA,2022-03-28 01:12:29,-20.3667,14.9667,68.23,68,13,1.81
150,Dwarahat,IN,2022-03-28 01:12:30,29.7833,79.4333,54.3,35,36,3.94
151,Axim,GH,2022-03-28 01:12:30,4.8699,-2.2405,79.9,88,100,5.14
152,Mandurah,AU,2022-03-28 01:12:31,-32.55,115.7,67.91,66,100,16.11
153,Codrington,AU,2022-03-28 01:12:31,-38.2667,141.9667,67.87,62,1,11.65
154,Mollendo,PE,2022-03-28 01:12:32,-17.0231,-72.0147,69.19,83,53,6.44
155,Vila Velha,BR,2022-03-28 01:12:33,-20.3297,-40.2925,78.94,87,0,6.91
156,Saldanha,ZA,2022-03-28 01:12:33,-33.0117,17.9442,62.17,76,13,8.12
157,Deolali,IN,2022-03-28 01:12:34,19.95,73.8333,76.23,45,8,5.37
158,Chuy,UY,2022-03-28 01:12:34,-33.6971,-53.4616,62.4,65,0,3.44
159,Kamenka,RU,2022-03-28 01:12:35,51.3223,42.7678,23.02,81,100,18.88
160,Kyzyl-Suu,KG,2022-03-28 01:12:35,42.3414,78.0056,28.87,67,40,6.69
161,Lompoc,US,2022-03-28 01:12:36,34.6391,-120.4579,59.63,70,100,12.66
162,Akdepe,TM,2022-03-28 01:12:36,42.0551,59.3788,44.58,54,100,8.97
163,Aktau,KZ,2022-03-28 01:12:37,43.65,51.2,37.98,87,98,17.05
164,Heihe,CN,2022-03-28 01:12:37,50.2441,127.4902,35.4,75,22,7.02
165,Geraldton,AU,2022-03-28 01:12:38,-28.7667,114.6,79.21,73,34,10.36
166,Najran,SA,2022-03-28 01:12:38,17.4924,44.1277,58.68,28,2,3.31
167,Haines Junction,CA,2022-03-28 01:12:39,60.7522,-137.5108,32.43,73,90,3.31
168,Ligayan,PH,2022-03-28 01:12:39,4.6533,119.4706,81.0,79,17,8.68
169,Yenagoa,NG,2022-03-28 01:12:40,4.9247,6.2642,78.3,91,8,3.42
170,Bilma,NE,2022-03-28 01:12:41,18.6853,12.9164,68.99,11,0,7.83
171,Ilulissat,GL,2022-03-28 01:12:41,69.2167,-51.1,33.82,40,66,24.16
172,Bethel,US,2022-03-28 01:12:42,41.3712,-73.414,34.11,75,100,8.99
173,Asyut,EG,2022-03-28 01:12:42,27.181,31.1837,56.21,38,0,9.86
174,Makakilo City,US,2022-03-28 01:11:56,21.3469,-158.0858,79.29,65,100,6.91
175,Souillac,MU,2022-03-28 01:12:43,-20.5167,57.5167,75.58,88,40,0.0
176,Karratha,AU,2022-03-28 01:12:43,-20.7377,116.8463,82.99,67,80,6.53
177,Ferlach,AT,2022-03-28 01:12:44,46.5269,14.3019,51.24,64,0,5.75
178,Kawalu,ID,2022-03-28 01:12:44,-7.3817,108.2082,75.25,91,100,3.11
179,Isangel,VU,2022-03-28 01:07:47,-19.55,169.2667,83.88,68,84,8.41
180,Deputatskiy,RU,2022-03-28 01:12:45,69.3,139.9,4.48,73,18,1.54
181,Warrenton,ZA,2022-03-28 01:12:45,-28.114,24.8475,64.31,41,0,9.19
182,Prachuap Khiri Khan,TH,2022-03-28 01:09:41,12.2167,99.75,81.68,77,88,2.62
183,Lavrentiya,RU,2022-03-28 01:12:46,65.5833,-171.0,16.95,79,29,2.55
184,Khatanga,RU,2022-03-28 01:12:47,71.9667,102.5,-8.05,97,100,8.08
185,Nizhneangarsk,RU,2022-03-28 01:12:47,55.7833,109.55,8.82,78,79,2.62
186,Barahona,DO,2022-03-28 01:12:48,18.2085,-71.1008,75.94,83,71,1.45
187,Port Alfred,ZA,2022-03-28 01:12:49,-33.5906,26.891,65.17,93,86,14.5
188,Dukat,RU,2022-03-28 01:13:49,62.55,155.55,2.44,90,98,5.77
189,Raudeberg,NO,2022-03-28 01:13:50,61.9875,5.1352,43.47,82,100,21.52
190,Miri,MY,2022-03-28 01:13:50,4.4148,114.0089,77.0,80,96,4.12
191,Lac Du Bonnet,CA,2022-03-28 01:13:51,50.2536,-96.0612,10.8,82,15,2.82
192,Christchurch,NZ,2022-03-28 01:09:13,-43.5333,172.6333,65.41,74,75,17.27
193,Verkhniy Fiagdon,RU,2022-03-28 01:13:51,42.8333,44.3053,25.47,94,100,8.59
194,Birao,CF,2022-03-28 01:13:52,10.2849,22.7882,75.88,10,16,11.27
195,Narsaq,GL,2022-03-28 01:13:52,60.9167,-46.05,41.22,73,27,6.78
196,Shingu,JP,2022-03-28 01:13:53,33.7333,135.9833,58.51,54,100,4.52
197,Los Andes,CL,2022-03-28 01:13:54,-32.8337,-70.5983,69.01,37,100,1.07
198,Opuwo,NA,2022-03-28 01:13:54,-18.0607,13.84,66.4,52,1,2.15
199,Benghazi,LY,2022-03-28 01:13:39,32.1167,20.0667,64.02,35,82,21.61
200,Gazojak,TM,2022-03-28 01:13:55,41.1875,61.4036,46.53,51,100,6.26
201,Balkhash,KZ,2022-03-28 01:13:56,46.844,74.9804,31.95,83,91,7.25
202,Walvis Bay,NA,2022-03-28 01:13:57,-22.9575,14.5053,63.09,89,14,6.08
203,Lano,NG,2022-03-28 01:13:57,10.1725,11.4715,75.51,12,19,7.38
204,Samarai,PG,2022-03-28 01:13:58,-10.6167,150.6667,84.22,71,38,2.15
205,Turukhansk,RU,2022-03-28 01:13:58,65.8167,87.9833,-9.29,100,100,5.08
206,Sinnamary,GF,2022-03-28 01:13:59,5.3833,-52.95,77.65,86,100,13.27
207,Arraial Do Cabo,BR,2022-03-28 01:11:51,-22.9661,-42.0278,76.82,91,95,6.38
208,Verkhnevilyuysk,RU,2022-03-28 01:14:00,63.4453,120.3167,18.7,90,100,5.46
209,Kirakira,SB,2022-03-28 01:14:00,-10.4544,161.9205,83.79,77,95,5.57
210,Bambous Virieux,MU,2022-03-28 01:14:01,-20.3428,57.7575,75.45,88,40,0.0
211,Singarayakonda,IN,2022-03-28 01:14:01,15.25,80.0333,77.02,83,8,3.62
212,Ankazoabo,MG,2022-03-28 01:14:02,-22.2833,44.5167,69.8,89,14,4.99
213,Lohardaga,IN,2022-03-28 01:14:02,23.4333,84.6833,71.62,13,0,3.53
214,Khilok,RU,2022-03-28 01:14:03,51.3674,110.4676,21.79,64,83,10.29
