City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Butaritari,KI,80.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
126,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Kaeo,NZ,76.32,clear sky,-35.1,173.7833,Bushido Lodge
137,Salalah,OM,87.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
142,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
147,Kimbe,PG,78.28,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
149,Buchanan,LR,80.24,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
151,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
153,Navrongo,GH,88.72,few clouds,10.8956,-1.0921,Azakka Hotel
155,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
157,Puerto Baquerizo Moreno,EC,79.7,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
163,Sola,VU,82.33,overcast clouds,-13.8833,167.55,Leumerus Bungalows
165,Ugoofaaru,MV,82.15,clear sky,5.6667,73.0,Ungoofaaru Inn
171,Noumea,NC,85.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
173,Malakal,SS,82.94,broken clouds,9.5334,31.6605,Nile Palace Hotel
174,Bambanglipuro,ID,76.64,overcast clouds,-7.95,110.2833,Puri Brata
175,Atuona,PF,79.66,overcast clouds,-9.8,-139.0333,Villa Enata
177,Santa Cruz,BO,82.45,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
179,Bondoukou,CI,83.46,scattered clouds,8.0333,-2.8,Prestige Hotel
181,Harper,LR,80.19,broken clouds,4.375,-7.7169,Screensaver
182,Caravelas,BR,78.64,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
183,Tegucigalpa,HN,81.36,few clouds,14.0818,-87.2068,Hotel and Casino Excelsior
184,Visavadar,IN,78.82,clear sky,21.3833,70.6833,Brahmanad Dham Guest House
185,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
186,Touros,BR,80.65,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
188,Isangel,VU,83.88,broken clouds,-19.55,169.2667,Tanna Lodge
209,Douentza,ML,83.61,few clouds,14.9951,-2.9517,Ogomono Doumbo
215,Faanui,PF,82.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Buala,SB,83.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
225,Daloa,CI,76.1,overcast clouds,6.8774,-6.4502,Imans Hotel Daloa
230,Sechura,PE,77.79,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
231,Kavieng,PG,81.66,moderate rain,-2.5744,150.7967,Nusa Island Retreat
233,Altagracia De Orituco,VE,78.73,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
235,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
240,Jaumave,MX,83.75,scattered clouds,23.4167,-99.3833,HOTEL CIENEGA
246,Meulaboh,ID,76.46,few clouds,4.1363,96.1285,Kost Pria
249,Sheopur,IN,79.03,clear sky,25.6667,76.7,Shri Ram Dharmshala
250,Teacapan,MX,78.13,few clouds,22.55,-105.75,Hotel los Mangos
253,Kinablangan,PH,78.35,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
258,Bonthe,SL,76.68,broken clouds,7.5264,-12.505,Bonthe Holiday Village
264,Gannavaram,IN,76.87,few clouds,16.5333,80.8,K guest house.
265,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
267,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
275,Dingle,PH,79.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
277,Conceicao Do Araguaia,BR,75.47,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
278,Gopalur,IN,81.57,few clouds,16.6167,77.8,Dhaba- Motel
281,Carutapera,BR,75.88,light rain,-1.195,-46.02,Lidera
283,Acapulco,MX,84.02,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
291,Trincomalee,LK,79.21,clear sky,8.5711,81.2335,Welcombe Hotel
292,Sao Joao Da Barra,BR,77.31,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
305,Kirakira,SB,83.14,overcast clouds,-10.4544,161.9205,SanBiz Lodge
307,Idanre,NG,76.69,few clouds,7.1127,5.1159,Rock valley hotel
312,Nortelandia,BR,75.51,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
324,Miahuatlan,MX,76.35,clear sky,18.5667,-97.4333,Jardín de Eventos Floresta
