City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Zhigansk,RU,66.7697,123.3711,-3.98,98,96,7.11,overcast clouds
113,Obihiro,JP,42.9172,143.2044,42.21,62,2,7.2,clear sky
114,Algiers,DZ,36.7525,3.042,58.82,88,75,9.22,broken clouds
115,Pauini,BR,-7.7136,-66.9764,75.24,96,73,1.32,light rain
116,Ballina,AU,-28.8667,153.5667,70.79,99,100,20.09,overcast clouds
117,Rio Grande,BR,-32.035,-52.0986,69.94,71,1,11.68,light rain
118,Avarua,CK,-21.2078,-159.775,84.25,74,20,9.22,few clouds
119,San Patricio,US,28.017,-97.5169,82.49,53,2,20.47,clear sky
120,Mayo,US,38.8876,-76.5119,34.03,35,40,24.16,scattered clouds
121,Yashan,CN,22.1975,109.9419,65.89,88,100,2.37,overcast clouds
122,Butaritari,KI,3.0707,172.7902,80.55,74,58,11.3,broken clouds
123,Alice Springs,AU,-23.7,133.8833,71.15,28,0,0.0,clear sky
124,Buraydah,SA,26.326,43.975,59.45,22,47,10.49,scattered clouds
125,Strangnas,SE,59.3774,17.0312,35.08,81,82,5.84,broken clouds
126,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,40,4.59,scattered clouds
127,Itaituba,BR,-4.2761,-55.9836,74.16,99,100,2.42,heavy intensity rain
128,Sinop,TR,41.7711,34.8709,39.43,84,1,10.0,clear sky
129,Ilulissat,GL,69.2167,-51.1,35.62,48,13,13.8,few clouds
130,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.51,98,100,1.07,overcast clouds
131,Springfield,US,37.2153,-93.2982,62.65,34,0,17.27,clear sky
132,Pishva,IR,35.308,51.7267,50.31,42,0,13.4,clear sky
133,Gilgit,PK,35.9221,74.3087,55.42,60,0,1.7,clear sky
134,Norman Wells,CA,65.282,-126.8329,10.44,56,75,2.3,broken clouds
135,Kaeo,NZ,-35.1,173.7833,76.32,66,6,3.58,clear sky
136,Richards Bay,ZA,-28.783,32.0377,73.08,78,7,14.74,clear sky
137,Salalah,OM,17.0151,54.0924,87.89,14,0,6.91,clear sky
138,Pangnirtung,CA,66.1451,-65.7125,10.02,87,8,4.88,clear sky
139,Tiksi,RU,71.6872,128.8694,-12.75,98,78,5.01,broken clouds
140,Falam,MM,22.9167,93.6833,53.67,73,25,2.66,scattered clouds
141,Broken Hill,AU,-31.95,141.4333,69.98,44,0,11.95,clear sky
142,Limbang,MY,4.75,115.0,77.11,96,100,2.33,overcast clouds
143,Portland,US,45.5234,-122.6762,63.01,80,75,11.5,broken clouds
144,Cape Town,ZA,-33.9258,18.4232,64.81,73,75,9.22,broken clouds
145,Viedma,AR,-40.8135,-62.9967,74.43,16,2,17.16,clear sky
146,Mahanoro,MG,-19.9,48.8,72.91,97,100,13.44,very heavy rain
147,Kimbe,PG,-5.5502,150.1429,78.28,89,100,2.53,moderate rain
148,Port Augusta,AU,-32.5,137.7667,72.34,58,0,9.98,clear sky
149,Buchanan,LR,5.8808,-10.0467,80.24,86,100,4.23,overcast clouds
